country_name,matched_fishing,matched_unknown_likelyfish,matched_nonfishing,matched_unknown_likelynonfish,unmatched_fishing,unmatched_nonfishing,sum_match_unmatched,ratio_unmatch_matched
Saint Vincent and the Grenadines,0.129016421,0.096324427,5.415477037,0.230285349,1.630156135,0.9879096,1.759172556,0.926660736
Grenada,0.126684364,0.111094994,5.313067576,0.314038512,1.493104085,0.807199644,1.619788449,0.921789562
Saint Kitts and Nevis,0.052603259,0.012066921,3.043248375,0.173779285,0.605979322,0.544823846,0.658582581,0.920126556
Sint Maarten,0.006734007,0.021475728,1.68289101,0.113149108,0.076837312,0.168753914,0.083571319,0.919422033
East Timor,0.373944782,0.02883561,4.165317922,0.166146518,3.870118203,1.900000099,4.244062985,0.911889908
Equatorial Guinea,0.861329761,0.516750063,22.71650366,1.004795495,8.612448372,3.955692674,9.473778133,0.90908276
Syria,0.370442202,0.026970091,2.731383124,0.064570725,3.588127744,4.407689178,3.958569946,0.906420195
Republic of the Congo,3.636675306,1.778859701,33.93494883,1.21861203,31.73673199,9.231150015,35.3734073,0.897191829
Sierra Leone,3.99262854,1.290943435,30.93578966,2.070692141,34.02432897,13.39422683,38.01695751,0.894977694
Gabon,3.262692781,0.478070911,34.20061073,1.020848779,27.50694324,13.03914775,30.76963602,0.893963881
Peru,18.87999144,5.107812996,64.54032517,3.182842895,146.2057401,17.75295407,165.0857315,0.885635232
Gibraltar,0.027970497,0.049084626,11.3343728,0.334670854,0.205094227,0.18982994,0.233064724,0.879988286
Mayotte,0.10380563,0.022793418,2.407775017,0.080213576,0.747811311,0.540448282,0.851616941,0.878107603
Chile,21.41816161,2.704980396,105.2118299,3.164005347,151.7600674,37.38376062,173.178229,0.876323013
Qatar,4.761355916,1.996925069,86.51605561,3.52768569,33.21202801,17.16013738,37.97338393,0.874613336
Ukraine,4.575601243,0.808823108,170.0404287,3.847855894,30.97427008,21.29278318,35.54987132,0.871290638
Japan,129.8066741,12.34823549,1746.92717,34.72056207,867.7431164,225.2589722,997.5497905,0.869874491
Tanzania,0.731689163,0.213206965,16.0083168,0.858135554,4.567082844,4.033484995,5.298772007,0.861913447
Romania,0.849367959,0.235562307,30.09746565,0.912742648,5.213726643,2.708962935,6.063094602,0.859911808
Somalia,3.604073303,1.868832719,18.15573909,1.202928842,21.43138757,14.20638034,25.03546087,0.856041264
Benin,0.811000682,0.111987237,10.18794802,0.517534743,4.622397094,2.363629231,5.433397776,0.850737841
Sao Tome and Principe,0.618681613,0.14329221,12.43837385,0.248540381,3.432406701,2.590297556,4.051088314,0.847280147
Albania,2.928311292,0.541200305,9.979776832,0.420656233,16.16508663,1.680261847,19.09339792,0.84663226
Cyprus,1.995741575,0.180720535,41.60351858,1.48247768,10.83375728,6.993724729,12.82949886,0.84444119
Ivory Coast,5.638550794,0.969460844,40.1354985,1.441459091,28.76574232,6.693676202,34.40429311,0.836109093
Australia,47.61007267,2.235021965,454.5121262,18.75728807,233.7032556,91.72475914,281.3133283,0.830757849
Brazil,48.81799979,9.896088834,661.0857462,22.47803468,233.8214486,88.04333565,282.6394484,0.82727818
Israel,1.41907226,0.093145304,25.34993796,0.850943042,6.676303519,4.118980415,8.095375779,0.82470582
Democratic Republic of the Congo,0.803221424,0.407914443,14.82547383,1.041883888,3.448655681,2.53634843,4.251877105,0.81109016
Mauritania,30.58389495,5.963802994,52.45375316,1.938512886,127.0773341,13.66401618,157.6612291,0.806015118
French Southern and Antarctic Lands,0.211973471,0.009606186,9.218606229,0.259798094,0.806363089,0.580397629,1.01833656,0.791843405
The Gambia,4.42793462,0.778030618,4.598090774,0.191395546,16.08375102,1.375551394,20.51168564,0.784126244
Papua New Guinea,12.4497496,0.998687979,113.2324128,4.33564934,42.22938411,25.00903454,54.67913371,0.772312603
United States,234.1071675,8.961653931,802.5278278,24.11432809,770.6380135,190.0943622,1004.745181,0.766998467
Nigeria,28.79442845,7.510058833,242.6445041,9.762565087,86.66722614,43.47337019,115.4616546,0.750614795
Togo,0.647239561,0.422015102,42.83858727,1.032908628,1.938901415,0.875756659,2.586140976,0.749727657
Samoa,1.253946605,0.140539103,0.80640801,0.098234566,3.472133071,1.305604486,4.726079676,0.734675103
Montenegro,1.029935271,0.147550916,2.561070465,0.059721101,2.849584122,0.312396789,3.879519393,0.734519881
Northern Mariana Islands,0.115481823,0.020636155,1.03195266,0.183214551,0.302020774,0.661386649,0.417502597,0.723398552
New Zealand,23.2570443,1.001925597,48.80292316,1.757871088,60.52487052,7.930878193,83.78191482,0.722409731
Georgia,2.057136709,0.056713637,5.983446514,0.188625551,5.345490901,1.663601004,7.40262761,0.722107228
Senegal,24.89972109,4.058079331,45.02566878,1.979537343,64.64712353,6.813739361,89.54684462,0.721936365
Guinea,11.97723734,1.782161686,59.10815469,2.302479016,30.90924339,12.95669226,42.88648073,0.720722308
Liberia,3.530048612,0.223973695,30.75688287,0.982352466,9.077595398,3.527327602,12.60764401,0.720007274
French Polynesia,0.659208524,0.046653027,3.089041096,0.213620945,1.65702863,1.206178007,2.316237154,0.715396792
Angola,22.98650571,3.440851162,88.19633911,2.25647586,57.76384772,16.51417232,80.75035343,0.715338637
Turkey,65.97890492,3.224301164,415.2990119,10.0546088,163.8156492,50.51916583,229.7945541,0.712878727
Jersey,0.883543551,0.053727268,1.341662254,0.046295902,2.077113922,0.231715791,2.960657473,0.701571844
Mozambique,15.03613978,1.803683293,54.84108698,3.8224355,35.32280826,9.710424004,50.35894804,0.701420694
Reunion,2.436805979,0.234207607,27.76331963,0.990861559,5.533809295,1.729902356,7.970615274,0.694276302
Madagascar,11.08701607,0.6283696,27.1803463,1.319096326,23.49807964,19.34949341,34.58509571,0.67942792
